Variables,Coefficient,Stderr,T-score,Significance
ln price,-1.83,0.33,-5.60,***
sales price x income,1.35,0.23,5.81,***
accessibility,0.02,0.04,0.57,
reliability,-0.03,0.02,-1.87,*
average income,0.20,0.45,0.45,
income x income,0.20,0.39,0.51,
ln units,0.58,0.03,22.57,***
