juris_name,zoned_du,zoned_du_vacant,zoned_du_underbuild,zoned_du_underbuild_nodev
Alameda,57813,5090,25855,19503
Alameda County,246553,94265,186510,163562
Albany,9299,593,2405,1382
American Canyon,6402,1047,2256,2200
Antioch,54972,21836,24187,22276
Atherton,2518,66,195,169
Belmont,14205,1385,4725,3973
Belvedere,1296,26,262,200
Benicia,26158,4808,13000,9677
Berkeley,63643,2732,14132,5211
Brentwood,86079,41862,63379,47767
Brisbane,2282,476,611,387
Burlingame,22549,505,9775,7556
Calistoga,6568,1611,3350,1015
Campbell,20684,3185,8613,7748
Clayton,5000,984,1352,1260
Cloverdale,5442,738,1855,1452
Colma,676,82,190,98
Concord,118565,17038,53855,41071
Contra Costa County,322714,209358,258514,246590
Corte Madera,5624,232,1005,822
Cotati,6940,1558,3472,2890
Cupertino,27720,4340,10342,9443
Daly City,36371,2489,7201,6087
Danville,20690,2847,4879,4602
Dixon,12522,4049,6019,5059
Dublin,23557,5415,11032,7619
East Palo Alto,19119,1999,10129,7368
El Cerrito,18293,2209,5742,4132
Emeryville,28383,7651,19874,19176
Fairfax,5680,145,2660,2125
Fairfield,44378,8769,16538,14393
Foster City,18624,1999,8229,8135
Fremont,88744,13035,19482,17247
Gilroy,55178,27592,39599,35278
Half Moon Bay,21654,15936,17466,16555
Hayward,66002,10844,20060,16149
Healdsburg,9210,1985,3754,3165
Hercules,12275,3717,4726,3927
Hillsborough,6159,353,1482,1368
Lafayette,23178,2814,9335,7771
Larkspur,6811,271,1592,1309
Livermore,70680,15140,44539,36461
Los Altos,24966,2330,9612,8089
Los Altos Hills,129,5,103,95
Los Gatos,156,20,87,18
Marin County,70314,16194,39863,36163
Martinez,25093,6221,8558,7194
Menlo Park,16195,1261,3388,3042
Mill Valley,7156,254,1306,855
Millbrae,11486,844,2372,1705
Milpitas,39646,10638,22759,22142
Monte Sereno,1424,47,150,92
Moraga,5351,1284,1578,1574
Morgan Hill,20629,7298,10939,9528
Mountain View,70240,16136,46006,42100
Napa,61208,9961,23737,17633
Napa County,455664,310218,436665,408021
Newark,7714,1469,1976,1554
Novato,48064,6331,30657,29348
Oakland,463908,55052,247369,145615
Oakley,18756,6091,9320,7031
Orinda,11214,2387,3446,3309
Pacifica,22046,3497,6525,5427
Palo Alto,54389,6566,25092,16602
Petaluma,48067,8155,20249,17134
Piedmont,5557,142,1297,271
Pinole,9578,2583,5521,4966
Pittsburg,37311,12762,16099,13428
Pleasant Hill,19931,3842,5181,4698
Pleasanton,57953,11991,21198,18803
Portola Valley,3284,432,1235,1220
Redwood City,77417,12156,44837,39413
Richmond,104014,22524,57371,44825
Rio Vista,27539,20954,22041,20530
Rohnert Park,21557,5495,8645,8473
Ross,1802,162,645,352
San Anselmo,6059,148,1865,1104
San Bruno,21540,3085,6820,6341
San Carlos,19406,1689,5844,5040
San Francisco,771985,59340,314227,162264
San Jose,1366518,194704,995695,470647
San Leandro,36230,2258,7106,4846
San Mateo,69939,7139,27400,23008
San Mateo County,76685,18702,50688,32686
San Pablo,18232,3635,7859,6298
San Rafael,47927,8181,19584,16612
San Ramon,41753,10044,15755,14602
Santa Clara,62599,6862,24395,21614
Santa Clara County,312417,215800,285492,238002
Santa Rosa,188432,26956,102463,91517
Saratoga,12147,1359,2026,1525
Sausalito,4196,96,713,249
Sebastopol,6739,713,3157,2479
Solano County,397425,336662,387821,384535
Sonoma,9723,1466,3771,3003
Sonoma County,542770,179173,477626,399608
South San Francisco,29787,3761,9285,6358
St. Helena,9557,1310,6222,3055
Suisun City,11799,638,1459,1105
Sunnyvale,76194,11300,34460,32411
Tiburon,4066,138,632,538
Union City,22916,3487,6763,6077
Vacaville,37695,8362,12217,11602
Vallejo,59929,11485,18678,12806
Walnut Creek,58995,16440,26725,24654
Windsor,14946,3149,6324,5934
Woodside,3291,265,1403,1354
Yountville,1856,616,689,649
