Variables,Coefficient,Stderr,T-score,Significance
ln price,-0.58,0.21,-2.73,**
sales price x income,0.42,0.17,2.55,**
accessibility,-0.03,0.04,-0.61,
reliability,-0.05,0.02,-2.70,**
average income,-0.16,0.18,-0.88,
income x income,-0.16,0.16,-0.97,
ln units,0.55,0.03,17.31,***
