juris_name,zoned_du,zoned_du_vacant,zoned_du_underbuild,zoned_du_underbuild_nodev
Alameda,108397,12402,67651,57225
Alameda County,177607,54167,118362,102388
Albany,32379,2137,22587,12869
American Canyon,6402,1047,2256,2200
Antioch,54972,21836,24187,22276
Atherton,2518,66,195,169
Belmont,31628,2489,18705,14019
Belvedere,1296,26,262,200
Benicia,26158,4808,13000,9677
Berkeley,303137,12343,204839,80139
Brentwood,86072,41858,63375,47763
Brisbane,66674,46562,62206,61664
Burlingame,86031,10109,61316,46783
Calistoga,6568,1611,3350,1015
Campbell,81562,9758,56231,44841
Clayton,5000,984,1352,1260
Cloverdale,5442,738,1855,1452
Colma,35015,5070,32323,31349
Concord,118562,17036,53852,41068
Contra Costa County,97811,23063,37765,32864
Corte Madera,5624,232,1005,822
Cotati,6940,1558,3472,2890
Cupertino,91680,9092,60471,43909
Daly City,211179,37412,167647,125783
Danville,20690,2847,4879,4602
Dixon,12325,3911,5823,4921
Dublin,23557,5415,11032,7619
East Palo Alto,23923,3850,13979,10894
El Cerrito,121259,10884,104414,46559
Emeryville,57852,12019,39959,37703
Fairfax,5679,144,2659,2124
Fairfield,43839,8251,16011,13866
Foster City,18624,1999,8229,8135
Fremont,299891,40805,206209,165794
Gilroy,41725,14516,26158,21837
Half Moon Bay,21654,15936,17466,16555
Hayward,200042,24131,135832,108400
Healdsburg,8389,1242,2962,2373
Hercules,12275,3717,4726,3927
Hillsborough,12685,685,7743,5351
Lafayette,23178,2814,9335,7771
Larkspur,6811,271,1592,1309
Livermore,68867,13611,42760,34702
Los Altos,31889,2729,15510,9855
Los Altos Hills,129,5,103,95
Los Gatos,20172,5238,16779,13692
Marin County,55787,9844,26051,22833
Martinez,25093,6221,8558,7194
Menlo Park,53383,4884,29707,22451
Mill Valley,7156,254,1306,855
Millbrae,93440,19912,80843,61815
Milpitas,266270,51499,220949,210109
Monte Sereno,1424,47,150,92
Moraga,5321,1254,1549,1545
Morgan Hill,20618,7298,10929,9518
Mountain View,329904,70013,274506,243078
Napa,60897,9844,23431,17339
Napa County,316199,213856,305211,283027
Newark,35000,4406,17730,12570
Novato,47982,6317,30610,29302
Oakland,1906620,150276,1590291,933150
Oakley,18661,6091,9231,6942
Orinda,11214,2387,3446,3309
Pacifica,22046,3497,6525,5427
Palo Alto,124935,12742,66649,43525
Petaluma,47715,7805,19900,16785
Piedmont,5557,142,1297,271
Pinole,9578,2583,5521,4966
Pittsburg,37311,12762,16099,13428
Pleasant Hill,19931,3842,5181,4698
Pleasanton,54262,8299,17507,15112
Portola Valley,3284,432,1235,1220
Redwood City,195303,18963,147745,132268
Richmond,268188,39562,206942,121911
Rio Vista,27532,20947,22035,20524
Rohnert Park,21487,5462,8584,8412
Ross,1802,162,645,352
San Anselmo,6059,148,1865,1104
San Bruno,68705,8140,44567,33156
San Carlos,54405,4594,33120,28088
San Francisco,3544368,209762,2812430,1155995
San Jose,4892322,890276,4336325,2996281
San Leandro,223177,16953,174864,117483
San Mateo,202720,29236,144178,100807
San Mateo County,66330,15378,42838,25189
San Pablo,18232,3635,7859,6298
San Rafael,47927,8181,19584,16612
San Ramon,41601,9892,15604,14451
Santa Clara,425416,87788,338431,287347
Santa Clara County,75639,25797,57700,26897
Santa Rosa,187801,26380,101846,90904
Saratoga,12145,1359,2026,1525
Sausalito,4196,96,713,249
Sebastopol,6639,665,3082,2408
Solano County,35965,22448,29016,28099
Sonoma,9681,1431,3737,2969
Sonoma County,65500,15763,26770,23687
South San Francisco,119573,16343,82658,61603
St. Helena,9557,1310,6222,3055
Suisun City,11799,638,1459,1105
Sunnyvale,300750,44660,220895,195396
Tiburon,4066,138,632,538
Union City,114117,18718,79975,71426
Vacaville,37452,8119,11975,11360
Vallejo,59916,11484,18678,12806
Walnut Creek,58995,16440,26725,24654
Windsor,14484,2717,5871,5488
Woodside,3291,265,1403,1354
Yountville,1856,616,689,649
