Variables,Coefficient,Stderr,T-score,Significance
total sqft,0.38,0.07,5.47,***
ln weighted rent,-0.71,0.26,-2.76,**
retpct,0.27,0.33,0.83,
indpct,0.18,0.32,0.56,
accessibility,0.23,0.05,4.65,***
reliability,0.09,0.06,1.45,.
