Variables,Coefficient,Stderr,T-score,Significance
total sqft,0.39,0.04,9.35,***
ln weighted rent,-0.53,0.15,-3.50,***
retpct,-0.15,0.16,-0.95,
indpct,-1.52,0.23,-6.70,***
accessibility,0.49,0.03,17.55,***
reliability,-0.10,0.04,-2.50,**
