Variables,Coefficient,Stderr,T-score,Significance
total sqft,0.80,0.89,0.89,
ln weighted rent,-2.11,3.25,-0.65,
retpct,-0.32,1.73,-0.19,
indpct,-2.40,3.65,-0.66,
accessibility,-0.72,0.32,-2.22,*
reliability,0.24,0.44,0.55,
