MAZ,HH,POP,emp_total,ag,art_rec,constr,eat,ed_high,ed_k12,ed_oth,fire,gov,health,hotel,info,lease,logis,man_bio,man_hvy,man_lgt,man_tech,natres,prof,ret_loc,ret_reg,serv_bus,serv_pers,serv_soc,transp,unclass,util,emp_total,DUDen,EmpDen,PopDen,RetEmpDen,ACRES
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
