zone_id,SD,ZONE,COUNTY,AGREMPN,FPSEMPN,HEREMPN,RETEMPN,TOTEMP,MWTEMPN,OTHEMPN,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,SHPOP62P,TOTHH,GQPOP,MFDU,SFDU,CIACRE_UNWEIGHTED,RESACRE_UNWEIGHTED,CIACRE,RESACRE,TOTACRE,HHPOP,TOTPOP,EMPRES,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P
1254,26,1254,6,0.0,58.0,123.0,12.0,234,0.0,41.0,327.0,551.0,623.0,295.0,0.099,1796.0,2,12.0,1884.0,7.76483547065,305.147853429,5.0,406.0,428.0,5932,5934,2980,414.0,1540.0,2073.0,1558.0,349.0
1255,26,1255,6,0.0,44.0,245.0,46.0,413,24.0,54.0,389.0,620.0,485.0,163.0,0.122,1657.0,8,377.0,1399.0,18.7904602004,202.94162067,41.0,224.0,317.0,5130,5138,2420,354.0,1328.0,1744.0,1297.0,415.0
1256,26,1256,6,0.0,95.0,105.0,34.0,699,141.0,324.0,527.0,593.0,428.0,141.0,0.192,1689.0,1,332.0,930.0,49.4153594238,659.392220228,39.0,704.0,945.0,4802,4803,2278,300.0,995.0,1497.0,1338.0,673.0
1257,26,1257,6,1.0,69.0,352.0,14.0,526,9.0,81.0,394.0,835.0,714.0,188.0,0.14,2131.0,19,1070.0,1117.0,28.8754775649,264.518216436,32.0,310.0,477.0,6448,6467,2841,559.0,1428.0,2266.0,1584.0,630.0
1258,26,1258,6,0.0,15.0,93.0,10.0,144,1.0,25.0,493.0,465.0,197.0,59.0,0.154,1214.0,6,801.0,472.0,18.0309281707,129.343571461,8.0,144.0,220.0,3873,3879,1460,360.0,926.0,1319.0,838.0,436.0
1259,26,1259,6,0.0,55.0,413.0,111.0,809,58.0,172.0,850.0,515.0,252.0,57.0,0.187,1674.0,33,849.0,894.0,56.8368348206,171.693396817,38.0,151.0,326.0,5190,5223,1669,482.0,1088.0,1817.0,1091.0,745.0
1260,26,1260,6,0.0,56.0,535.0,28.0,803,19.0,165.0,535.0,335.0,207.0,68.0,0.131,1145.0,14,560.0,655.0,40.6793322661,112.177875491,39.0,114.0,198.0,3887,3901,1399,408.0,954.0,1429.0,737.0,373.0
1261,26,1261,6,3.0,103.0,96.0,118.0,382,24.0,38.0,242.0,398.0,385.0,170.0,0.082,1195.0,0,1.0,1185.0,24.2510048448,136.900513479,50.0,135.0,330.0,3851,3851,1882,334.0,962.0,1508.0,861.0,186.0
1262,26,1262,6,0.0,294.0,901.0,63.0,2396,123.0,1015.0,307.0,197.0,54.0,30.0,0.111,588.0,0,288.0,349.0,51.6800311168,55.7667430558,57.0,75.0,224.0,1582,1582,506,104.0,240.0,820.0,295.0,123.0
1263,26,1263,6,0.0,236.0,491.0,26.0,2375,151.0,1471.0,391.0,309.0,161.0,44.0,0.232,905.0,117,400.0,572.0,62.6077310659,111.779291189,37.0,118.0,271.0,2577,2694,1006,214.0,532.0,893.0,561.0,494.0
1264,26,1264,6,0.0,202.0,401.0,193.0,939,20.0,123.0,786.0,665.0,322.0,62.0,0.14,1835.0,83,1342.0,534.0,77.2203859494,173.752695456,65.0,190.0,379.0,5488,5571,2060,623.0,1118.0,2124.0,1139.0,567.0
1265,26,1265,6,0.0,93.0,2946.0,1670.0,4922,70.0,143.0,437.0,428.0,221.0,72.0,0.179,1158.0,181,752.0,451.0,173.123501648,129.187932192,119.0,127.0,411.0,3521,3702,1544,333.0,816.0,1303.0,747.0,503.0
1266,26,1266,6,7.0,148.0,231.0,87.0,604,15.0,116.0,441.0,547.0,294.0,100.0,0.18,1382.0,105,11.0,1453.0,46.5898105565,195.19611259,44.0,173.0,348.0,4523,4628,1791,355.0,1146.0,1543.0,948.0,636.0
1267,26,1267,6,3.0,64.0,475.0,133.0,915,28.0,212.0,185.0,363.0,390.0,312.0,0.171,1250.0,0,89.0,1207.0,40.8515292186,227.617136636,37.0,231.0,446.0,3310,3310,1854,159.0,676.0,865.0,1240.0,370.0
1268,26,1268,6,46.0,302.0,866.0,174.0,1634,40.0,206.0,709.0,882.0,1109.0,1417.0,0.176,4117.0,31,137.0,3650.0,196.713673929,1347.6762169,53.0,1360.0,8690.0,10977,11008,5998,709.0,2163.0,3150.0,3659.0,1327.0
1269,26,1269,6,1.0,535.0,1202.0,513.0,2727,393.0,83.0,804.0,1085.0,1020.0,687.0,0.282,3596.0,117,276.0,2591.0,162.457739582,572.001818415,98.0000000003,478.0,2243.0,9090,9207,4648,488.0,1593.0,2650.0,2407.0,2069.0
