Variables,Coefficient,Stderr,T-score,Significance
total sqft,0.33,0.07,4.73,***
ln weighted rent,-0.52,0.25,-2.11,*
retpct,-0.29,0.29,-0.99,
indpct,-0.97,0.34,-2.88,**
accessibility,0.41,0.04,10.48,***
reliability,-0.10,0.05,-1.88,*
