Variables,Coefficient,Stderr,T-score,Significance
total sqft,0.62,0.28,2.24,*
ln weighted rent,-1.33,1.04,-1.28,
retpct,0.97,0.93,1.04,
indpct,-1.83,1.23,-1.50,.
accessibility,0.89,0.23,3.83,***
reliability,0.04,0.31,0.13,
