Variables,Coefficient,Stderr,T-score,Significance
total sqft,0.42,0.05,8.05,***
ln weighted rent,-0.80,0.18,-4.37,***
retpct,0.54,0.19,2.79,**
indpct,-1.18,0.27,-4.38,***
accessibility,0.39,0.03,11.76,***
reliability,-0.07,0.05,-1.61,.
