,segment11,segment21,segment22,segment23,segment31,segment32,segment33,segment42,segment44,segment45,segment48,segment49,segment51,segment52,segment53,segment54,segment55,segment56,segment61,segment62,segment71,segment72,segment81,segment92,segment99
count,226060.0,226060.0,226060.0,226060.0,226060.0,226060.0,226060.0,226060.0,226060.0,226060.0,226060.0,226060.0,226060.0,226060.0,226060.0,226060.0,226060.0,226060.0,226060.0,226060.0,226060.0,226060.0,226060.0,226060.0,226060.0
mean,4.423604352826768e-06,4.423604352826994e-06,4.42360435282731e-06,4.423604352826811e-06,4.423604352826263e-06,4.423604352825986e-06,4.423604352826538e-06,4.423604352826823e-06,4.423604352825807e-06,4.423604352827064e-06,4.423604352826561e-06,4.423604352826051e-06,4.423604352826384e-06,4.423604352826477e-06,4.4236043528265746e-06,4.423604352826616e-06,4.423604352826975e-06,4.423604352826193e-06,4.423604352827197e-06,4.42360435282701e-06,4.423604352826266e-06,4.423604352826713e-06,4.4236043528260596e-06,4.423604352826004e-06,4.42360435282675e-06
std,6.418962315859874e-06,1.66814431791843e-05,2.030920061142953e-05,3.461204635469652e-06,8.776181845293193e-06,1.2210464344689774e-05,1.0407031169629492e-05,8.444434241602746e-06,7.3530011275651125e-06,6.266444790672364e-06,6.280987046493335e-06,1.2919800075845634e-05,6.697881033345744e-06,7.199834045220317e-06,6.230546358353183e-06,5.725972182957538e-06,7.250636719152644e-06,2.90171588143638e-06,5.59728318119003e-06,7.2895818558270205e-06,4.877955501356812e-06,1.2211035874259422e-05,6.632639724029568e-06,9.371777710811216e-06,1.5580585195502143e-05
min,5.281927509681182e-07,2.266228192905623e-12,7.385737793967525e-09,8.402390204656688e-07,2.2501834605575646e-08,2.783767859059739e-08,1.2430247993415658e-08,1.0575877025474493e-07,5.1489920937151635e-08,2.7402573777702725e-08,1.3211741305802766e-08,3.654164149180173e-09,5.771540672983488e-09,9.594351315466224e-09,4.18351223064949e-08,3.2080387210180952e-09,5.1875895288830546e-11,7.365543607067757e-08,1.6999240722368666e-08,8.757065691385365e-09,3.1441744995136826e-08,4.636799511799557e-10,2.7160168268352307e-08,4.473471607407324e-08,9.523830034490553e-14
25%,1.5566689294423872e-06,4.307083741658706e-07,2.2004390420813095e-07,2.66055467805762e-06,1.261609170466966e-06,1.0443892674572293e-06,1.3327121871489787e-06,1.4223899408405987e-06,1.405694882185885e-06,1.6308106648389637e-06,1.799512031582428e-06,9.965483885903033e-07,1.5467956334514509e-06,1.3848354215406964e-06,1.4687321880540448e-06,1.577184975555117e-06,8.697329218954568e-07,2.6715520217398984e-06,1.604943327034998e-06,1.1422394556831555e-06,2.012690257395122e-06,5.112541385510487e-07,1.188015104456338e-06,6.915910898520744e-07,1.2759271978764218e-07
50%,2.3165108059582245e-06,8.886416916178186e-07,3.868704821731801e-07,2.8497766102754004e-06,1.590937663151281e-06,1.3703367268839723e-06,1.7631332103003277e-06,1.6988184937329662e-06,1.711051623553165e-06,2.1735594668017446e-06,2.616576071701446e-06,1.333068156525869e-06,2.254953836102904e-06,2.0130798273269687e-06,1.861836565473692e-06,2.497393910468811e-06,1.8476620621871245e-06,3.5102706021914387e-06,2.2509826532604527e-06,1.6057262600338471e-06,2.6350504014619196e-06,7.713002929128099e-07,1.5365875127177194e-06,9.285797836049806e-07,3.6123102833668065e-07
75%,4.853523748384829e-06,1.8493388940136507e-06,1.9822837211557873e-06,5.407863737194143e-06,3.3123074036485578e-06,2.0439006272933405e-06,2.620055618309161e-06,3.4380593319753408e-06,3.2953911162704396e-06,3.1404339939364623e-06,3.1101120234645914e-06,1.6259471616603887e-06,3.3457694086789395e-06,2.6916757343931777e-06,3.6501017719346155e-06,3.5760420758740647e-06,2.5825701155800013e-06,4.369273210720576e-06,3.8769846497039445e-06,2.270471897537137e-06,3.7282947316304835e-06,1.8678589363574255e-06,4.573140403707352e-06,3.621385251822541e-06,8.808503073378001e-07
max,0.00018260369880073425,0.0008958465355007931,0.0011833775049090993,4.101800899052033e-05,0.00043022927459804186,0.0005361457357824854,0.00037340849206576274,0.00023495595986031058,0.0002065889713896915,0.00022767996966565764,0.00012731457445318427,0.0015725725255506576,0.0003105861060055643,0.0003487540007820142,0.00015958680827152347,0.0001337275348264935,9.527367241775431e-05,2.1783747768391808e-05,9.176156357207787e-05,0.00016408877920055803,0.00013102224518984822,0.0006588899033691702,0.00012961677489663258,0.0004660315193420554,0.0009600326876860918
