Variables,Coefficient,Stderr,T-score,Significance
ln rent,-1.34,0.16,-8.33,***
accessibility,0.54,0.07,7.40,***
reliability,-0.15,0.03,-4.90,***
average income,0.94,0.06,15.57,***
ln units,0.69,0.04,18.39,***
ln renters,0.47,0.03,14.91,***
