,segment0,segment1,segment2,segment3
count,226060.0,226060.0,226060.0,226060.0
mean,4.4236043528266194e-06,4.423604352826603e-06,4.4236043528265475e-06,4.423604352826677e-06
std,8.901705844917867e-06,9.523795619469599e-06,8.170662255810171e-06,1.0928404682111971e-05
min,1.5548257264457405e-08,4.6613300861386984e-09,5.229507982664711e-09,3.164491920926881e-10
25%,8.543782384030763e-07,9.367868297107942e-07,1.0625209306023746e-06,6.320672463423523e-07
50%,2.1294270464284013e-06,2.154592108334054e-06,2.3707870243202917e-06,1.7701706375022483e-06
75%,4.54667714684604e-06,4.305689344164706e-06,4.70188702143521e-06,4.415971815491079e-06
max,0.00048169432506834975,0.0004564074246007995,0.000229994852801705,0.00042464459485010625
