juris,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
Benicia,10689.0,2152.0,2717.0,2803.0,3017.0,6912.0,3604.0,12855.0,7.0,4386.0,707.0,1892.0,2382.0,3481.0,1.0164511221,11338521.0,882.031971995
Larkspur,5859.0,413.0,1074.0,772.0,3600.0,3151.0,3066.0,7464.0,4.0,274.0,1262.0,1217.0,3911.0,796.0,0.942415956249,3978379.0,533.00897642
Piedmont,3788.0,368.0,359.0,580.0,2481.0,3875.0,47.0,1814.0,8.0,41.0,29.0,448.0,758.0,530.0,0.965833758287,887628.0,489.320837927
San Mateo,37934.0,7693.0,9503.0,9264.0,11474.0,22610.0,17107.0,50955.0,23.0,4049.0,7078.0,19109.0,14121.0,6575.0,0.955107384747,27481212.0,539.323167501
San Rafael,22531.0,6123.0,5941.0,4655.0,5812.0,12935.0,10802.0,43336.0,94.0,2770.0,5262.0,10408.0,14351.0,10451.0,0.949193242617,28005061.0,646.230870408
San Bruno,14614.0,2848.0,3762.0,4363.0,3641.0,9912.0,5419.0,12881.0,21.0,1086.0,2581.0,2642.0,4520.0,2031.0,0.953232013567,7936228.0,616.118934865
Calistoga,2062.0,792.0,659.0,372.0,239.0,1572.0,762.0,2223.0,64.0,224.0,144.0,232.0,1167.0,392.0,0.883461868038,2242387.0,1008.72109762
Cotati,3068.0,821.0,963.0,841.0,443.0,2145.0,1102.0,2712.0,30.0,418.0,433.0,472.0,733.0,626.0,0.944872189714,2155197.0,794.689159292
Mill Valley,5900.0,1173.0,1190.0,986.0,2551.0,4840.0,1462.0,5988.0,28.0,266.0,783.0,1680.0,2426.0,805.0,0.936210726753,3112564.0,519.800267201
San Anselmo,5217.0,1148.0,1161.0,1208.0,1700.0,4217.0,1284.0,3293.0,2.0,276.0,609.0,799.0,1120.0,487.0,0.948373023087,1864161.0,566.098086851
Los Altos,10481.0,1802.0,1797.0,1683.0,5199.0,9963.0,1029.0,14057.0,38.0,506.0,1030.0,4799.0,4805.0,2879.0,0.953511644833,7051864.0,501.662090062
El Cerrito,10277.0,2808.0,3092.0,2330.0,2047.0,7790.0,3008.0,5282.0,2.0,149.0,1107.0,1019.0,2090.0,915.0,0.951750324134,3996611.0,756.647292692
Saratoga,10673.0,1806.0,1336.0,1449.0,6082.0,10527.0,589.0,8738.0,25.0,531.0,466.0,2494.0,3701.0,1521.0,0.960147535085,4289266.0,490.875028611
Suisun City,9014.0,1923.0,2828.0,2974.0,1289.0,8143.0,975.0,2508.0,12.0,175.0,227.0,417.0,1060.0,617.0,0.98859398991,1532452.0,611.025518341
Sebastopol,3297.0,1076.0,1024.0,675.0,522.0,2394.0,1138.0,4991.0,41.0,505.0,752.0,684.0,2028.0,981.0,0.933465458664,2726852.0,546.353836906
Campbell,16548.0,4864.0,4432.0,3871.0,3381.0,9172.0,8286.0,25236.0,30.0,2812.0,3146.0,7364.0,6310.0,5574.0,0.947874899759,14252162.0,564.755190997
St. Helena,2396.0,620.0,643.0,588.0,545.0,2049.0,706.0,5701.0,1023.0,1367.0,593.0,843.0,1312.0,563.0,0.869691470054,3314348.0,581.362567971
Albany,7341.0,2497.0,2124.0,1605.0,1115.0,4067.0,3123.0,4421.0,4.0,180.0,655.0,626.0,1680.0,1276.0,1.02100139082,2716866.0,614.536530197
