Variables,Coefficient,Stderr,T-score,Significance
total sqft,0.22,0.03,6.70,***
ln weighted rent,-0.28,0.11,-2.48,**
retpct,-0.04,0.14,-0.30,
indpct,0.19,0.15,1.24,
accessibility,0.08,0.02,4.77,***
reliability,-0.02,0.02,-0.64,
