Variables,Coefficient,Stderr,T-score,Significance
total sqft,0.50,0.05,10.17,***
ln weighted rent,-0.73,0.19,-3.95,***
retpct,0.91,0.18,5.21,***
indpct,-1.67,0.28,-6.04,***
accessibility,0.44,0.03,12.84,***
reliability,-0.16,0.05,-3.38,***
