Variables,Coefficient,Stderr,T-score,Significance
total sqft,0.59,0.14,4.33,***
ln weighted rent,-1.02,0.51,-2.01,*
retpct,-1.54,0.71,-2.16,*
indpct,-3.00,0.81,-3.72,***
accessibility,0.01,0.09,0.11,
reliability,0.08,0.13,0.67,
