Variables,Coefficient,Stderr,T-score,Significance
ln price,-1.79,0.33,-5.48,***
sales price x income,1.32,0.23,5.69,***
accessibility,0.02,0.04,0.41,
reliability,-0.03,0.02,-1.76,*
average income,0.19,0.45,0.42,
income x income,0.19,0.39,0.48,
ln units,0.58,0.03,22.74,***
