Variables,Coefficient,Stderr,T-score,Significance
total sqft,0.50,0.06,7.79,***
ln weighted rent,-1.09,0.23,-4.67,***
retpct,-0.20,0.31,-0.65,
indpct,0.21,0.28,0.74,
accessibility,0.47,0.04,11.86,***
reliability,-0.13,0.06,-2.35,**
